product_title,product_id,Product_Price,product_year,product_grade,Product_Grade_Service,Product_Denomination,Product_Mint_Mark,Product_Metal_Mark,product_purity,Product_thinkness,Product_Diameter,First_Image,Second_Image,Third_Image,Stock
"
                    2015 Mexico 1/2 oz Silver Libertad Proof (In Capsule)
                ",92552,,2015,Proof,None,1/2 Onza,Mo - Mexico City,0.5 troy oz,0.999,2.6 mm,33 mm,https://apmex.exceda.com/images/Catalog Images/Products/92552_Obv.jpg?v=20150819114753&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92552_Rev.jpg?v=20150819114753&width=450&height=450,,0
"
                    2016 Mexico 1 oz Silver Libertad (MintDirect® Premier Single)
                ",92660,,2016,Brilliant Unc,MintDirect,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,"https://apmex.exceda.com/images/Catalog Images/Products/92660_Slab.jpg?v=20160727043723&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92660_B.jpg?v=20160727043723&width=450&height=450","https://apmex.exceda.com/images/Catalog Images/Products/92660_Obv.jpg?v=20160727043723&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92660_C.jpg?v=20160727043723&width=450&height=450","https://apmex.exceda.com/images/Catalog Images/Products/92660_Rev.jpg?v=20160727043723&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92660_D.jpg?v=20160727043723&width=450&height=450",0
"
                    2017 Mexico 1/20 oz Silver Libertad Proof (In Capsule)
                ",103067,$10.76,2017,Proof,None,1/20 Onza,Mo - Mexico City,0.05 troy oz,0.999,1 mm,16 mm,https://apmex.exceda.com/images/Catalog Images/Products/103067_Slab.jpg?v=20170425035718&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103067_Obv.jpg?v=20170425035718&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103067_Rev.jpg?v=20170425035718&width=450&height=450,1
"
                    2003 Mexico 1 oz Silver Libertad BU
                ",10219,$80.48,2003,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/10219_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/10219_Rev.jpg?v=20130602094622&width=450&height=450,,1
,103069,"
                            ,
                            ,
                        ",2017,Proof,None,1/4 Onza,Mo - Mexico City,0.25 troy oz,0.999,1.7 mm,27 mm,https://apmex.exceda.com/images/Catalog Images/Products/103069_Slab.jpg?v=20170425033226&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103069_Obv.jpg?v=20170425033226&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103069_Rev.jpg?v=20170425033226&width=450&height=450,1
"
                    1998 Mexico 1 oz Silver Libertad BU
                ",10215,,1998,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/10215_Obv.jpg?v=20151223085547&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/10215_Rev.jpg?v=20151223085547&width=450&height=450,,0
"
                    1990 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59704,,1990,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,4 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/59704_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59704_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2002 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59622,,2002,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/59622_Obv.jpg?v=20151231094433&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59622_Rev.jpg?v=20151231094433&width=450&height=450,,0
"
                    1983 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59632,,1983,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,4 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/59632_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59632_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2004 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59273,,2004,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/59273_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59273_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    1996 Mexico 1 oz Silver Libertad BU
                ",10211,,1996,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/10211_Obv.jpg?v=20160108105418&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/10211_Rev.jpg?v=20160108105418&width=450&height=450,,0
"
                    1991 Mexico 1 oz Silver Libertad BU (Type 2)
                ",58872,$165.49,1991,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,4 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/58872_Obv.jpg?v=20140721052028&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/58872_Rev.jpg?v=20140721052028&width=450&height=450,,1
"
                    2003 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59272,,2003,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/59272_Slab.jpg?v=20160202090542&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59272_Obv.jpg?v=20160202090542&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59272_Rev.jpg?v=20160202090542&width=450&height=450,0
"
                    1989 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",59208,,1989,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,4 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/59208_Slab.jpg?v=20161212083705&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59208_Obv.jpg?v=20161212083705&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/59208_Rev.jpg?v=20161212083705&width=450&height=450,0
"
                    2010 Mexico 5 oz Silver Libertad BU
                ",57113,,2010,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/57113_Obv.jpg?v=20150721022852&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/57113_Rev.jpg?v=20150721022852&width=450&height=450,,0
"
                    2010 Mexico 2 oz Silver Libertad BU
                ",57111,,2010,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/57111_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/57111_Rev.jpg?v=20130602094622&width=450&height=450,,0
